cloudiness,country,date,max_temp,lat,lng,wind_speed,city_name
60,TL,1631671979,76.89,-8.9266,125.4092,5.41,Airai
53,TZ,1631672178,65.23,-4.4667,38.0667,2.08,Kihurio
100,RU,1631672180,39.0,68.0546,166.4372,2.28,Bilibino
6,IL,1631672182,73.81,31.61,34.7642,4.14,Kiryat Gat
75,CA,1631671943,50.04,65.282,-126.8329,5.75,Norman Wells
90,CA,1631672184,51.58,47.6666,-52.7314,6.91,Torbay
90,SO,1631672185,77.38,5.3505,48.5268,21.74,Hobyo
90,CA,1631672187,48.2,51.2585,-80.6094,6.91,Moose Factory
100,RU,1631672188,55.87,53.9667,121.9667,3.83,Yerofey Pavlovich
99,NZ,1631672189,63.16,-35.6167,174.5,11.81,Ngunguru
90,CA,1631672191,53.71,49.7502,-77.6328,17.27,Matagami
40,MU,1631672192,68.25,-20.4081,57.7,6.91,Mahébourg
100,RU,1631671942,39.69,71.6872,128.8694,9.13,Tiksi
34,ZA,1631672195,69.4,-28.783,32.0377,15.97,Richards Bay
100,MX,1631672196,80.08,18.7333,-103.6833,2.68,Coahuayana Viejo
0,AR,1631672197,53.46,-45.8667,-67.5,25.32,Comodoro Rivadavia
2,BR,1631672054,73.85,-17.7125,-39.2481,9.13,Caravelas
42,RU,1631672201,40.98,53.6907,33.5071,7.7,Dubrovka
48,AU,1631672202,69.98,-28.8667,153.5667,18.9,Ballina
100,ZA,1631672204,54.88,-34.0033,24.7314,14.9,Kruisfontein
20,MY,1631672134,85.93,5.4112,100.3354,3.44,George Town
40,CK,1631672115,78.85,-21.2078,-159.775,17.27,Avarua
100,ID,1631672206,74.66,0.1333,117.5,6.71,Bontang
100,RU,1631672208,42.01,62.7191,32.727,10.29,Porosozero
40,BB,1631672210,83.01,13.2167,-59.5167,14.97,Bathsheba
84,PH,1631672211,82.63,6.8519,124.3225,3.96,Tapikan
100,FO,1631672212,50.92,62.2266,-6.589,6.33,Klaksvík
6,AU,1631672214,74.98,-23.1333,150.7333,7.87,Yeppoon
65,GL,1631672215,26.69,72.7868,-56.1549,5.08,Upernavik
40,MX,1631671977,80.42,16.8634,-99.8901,5.75,Acapulco de Juárez
100,NO,1631672219,41.56,71.0357,27.8492,4.81,Mehamn
100,ID,1631672220,82.15,5.8933,95.3214,8.05,Sabang
58,PG,1631672131,85.41,-9.4431,147.1797,15.7,Port Moresby
1,MX,1631672222,85.3,22.8909,-109.9124,1.99,Cabo San Lucas
3,RU,1631672224,63.84,54.7183,135.315,19.57,Chumikan
40,US,1631672225,78.37,38.5004,-77.9664,3.0,Culpeper
68,RU,1631672226,41.9,71.9667,102.5,3.83,Khatanga
100,MV,1631672228,83.44,5.7667,73.3833,15.23,Manadhoo
23,GB,1631672230,61.32,50.8552,0.5729,8.68,Hastings
33,VE,1631672049,80.28,8.8875,-64.2454,10.6,El Tigre
86,ML,1631672235,77.16,14.0,-11.0,5.03,Kayes
1,CA,1631672118,55.06,48.5999,-93.4003,0.0,Fort Frances
